Customer ID,Age,Total Spent,Segment
CUST567,25,900.0,High Value
CUST060,30,150.0,Mid Value
CUST961,53,200.0,Mid Value
CUST306,54,50.0,Low Value
CUST742,38,2000.0,High Value
CUST314,52,120.0,Mid Value
CUST450,59,50.0,Low Value
CUST269,25,2000.0,High Value
CUST883,40,500.0,Mid Value
CUST563,20,60.0,Low Value
CUST617,34,30.0,Low Value
CUST697,53,500.0,Mid Value
CUST178,40,60.0,Low Value
CUST301,30,120.0,Mid Value
CUST949,41,50.0,Low Value
CUST329,46,100.0,Low Value
CUST669,24,1200.0,High Value
CUST620,63,75.0,Low Value
CUST830,64,150.0,Mid Value
CUST615,61,100.0,Low Value
CUST516,30,100.0,Low Value
CUST585,24,25.0,Low Value
CUST372,24,1500.0,High Value
CUST682,46,1200.0,High Value
CUST433,29,200.0,Mid Value
CUST019,62,50.0,Low Value
CUST846,42,50.0,Low Value
CUST291,60,600.0,Mid Value
CUST862,28,1200.0,High Value
CUST840,62,50.0,Low Value
CUST817,30,200.0,Mid Value
CUST428,40,200.0,Mid Value
CUST438,42,30.0,Low Value
CUST850,26,1000.0,High Value
CUST406,22,100.0,Low Value
CUST451,45,30.0,Low Value
CUST678,60,900.0,High Value
CUST688,56,100.0,Low Value
CUST998,23,100.0,Low Value
CUST755,58,75.0,Low Value
CUST578,54,120.0,Mid Value
CUST741,48,300.0,Mid Value
CUST228,59,60.0,Low Value
CUST067,48,1200.0,High Value
CUST152,43,2000.0,High Value
CUST394,27,500.0,Mid Value
CUST606,22,50.0,Low Value
CUST163,64,150.0,Mid Value
CUST538,18,150.0,Mid Value
CUST589,36,1000.0,High Value
CUST417,43,900.0,High Value
CUST543,49,600.0,Mid Value
CUST533,19,1500.0,High Value
CUST831,27,100.0,Low Value
CUST838,47,600.0,Mid Value
CUST948,23,75.0,Low Value
CUST769,31,120.0,Mid Value
CUST964,24,900.0,High Value
CUST930,54,200.0,Mid Value
CUST086,19,90.0,Low Value
CUST676,63,1500.0,High Value
CUST364,19,500.0,Mid Value
CUST135,20,50.0,Low Value
CUST507,37,1500.0,High Value
CUST456,57,60.0,Low Value
CUST950,36,900.0,High Value
CUST627,57,50.0,Low Value
CUST132,42,200.0,Mid Value
CUST852,41,300.0,Mid Value
CUST975,56,200.0,Mid Value
CUST243,47,900.0,High Value
CUST090,51,30.0,Low Value
CUST472,38,900.0,High Value
CUST459,28,1200.0,High Value
CUST545,27,50.0,Low Value
CUST528,36,60.0,Low Value
CUST508,58,600.0,Mid Value
CUST079,34,300.0,Mid Value
CUST557,20,90.0,Low Value
CUST040,45,50.0,Low Value
CUST460,40,50.0,Low Value
CUST339,22,50.0,Low Value
CUST292,20,1200.0,High Value
CUST322,51,500.0,Mid Value
CUST635,63,900.0,High Value
CUST233,51,600.0,Mid Value
CUST931,30,120.0,Mid Value
CUST076,22,100.0,Low Value
CUST021,50,500.0,Mid Value
CUST522,46,1500.0,High Value
CUST763,34,50.0,Low Value
CUST020,22,900.0,High Value
CUST984,56,500.0,Mid Value
CUST726,47,1200.0,High Value
CUST211,42,1500.0,High Value
CUST735,64,2000.0,High Value
CUST346,59,1000.0,High Value
CUST951,33,100.0,Low Value
CUST808,33,2000.0,High Value
CUST653,54,75.0,Low Value
CUST003,50,30.0,Low Value
CUST493,41,50.0,Low Value
CUST202,34,1200.0,High Value
CUST826,46,300.0,Mid Value
CUST587,40,1200.0,High Value
CUST641,40,300.0,Mid Value
CUST008,30,100.0,Low Value
CUST642,54,100.0,Low Value
CUST757,43,1200.0,High Value
CUST001,34,150.0,Mid Value
CUST030,39,900.0,High Value
CUST994,51,1000.0,High Value
CUST252,54,300.0,Mid Value
CUST814,59,500.0,Mid Value
CUST055,31,120.0,Mid Value
CUST054,38,1500.0,High Value
CUST612,61,500.0,Mid Value
CUST661,44,100.0,Low Value
CUST900,21,60.0,Low Value
CUST062,18,100.0,Low Value
CUST625,31,300.0,Mid Value
CUST480,42,2000.0,High Value
CUST803,39,100.0,Low Value
CUST023,35,120.0,Mid Value
CUST474,26,1500.0,High Value
CUST687,53,300.0,Mid Value
CUST404,46,1000.0,High Value
CUST841,31,100.0,Low Value
CUST077,47,100.0,Low Value
CUST171,52,900.0,High Value
CUST084,38,90.0,Low Value
CUST486,35,25.0,Low Value
CUST839,20,1200.0,High Value
CUST879,23,30.0,Low Value
CUST529,35,150.0,Mid Value
CUST416,53,2000.0,High Value
CUST073,29,90.0,Low Value
CUST794,60,300.0,Mid Value
CUST946,62,2000.0,High Value
CUST796,43,120.0,Mid Value
CUST144,59,1500.0,High Value
CUST380,56,600.0,Mid Value
CUST277,36,100.0,Low Value
CUST294,23,90.0,Low Value
CUST337,38,500.0,Mid Value
CUST889,35,50.0,Low Value
CUST297,40,1000.0,High Value
CUST039,23,120.0,Mid Value
CUST702,60,600.0,Mid Value
CUST120,60,50.0,Low Value
CUST104,34,1000.0,High Value
CUST013,22,1500.0,High Value
CUST361,34,1200.0,High Value
CUST696,50,200.0,Mid Value
CUST229,58,90.0,Low Value
CUST524,46,1200.0,High Value
CUST683,38,1000.0,High Value
CUST344,42,30.0,Low Value
CUST880,22,1000.0,High Value
CUST753,32,30.0,Low Value
CUST963,55,50.0,Low Value
CUST175,31,100.0,Low Value
CUST655,55,500.0,Mid Value
CUST418,60,1000.0,High Value
CUST621,40,1000.0,High Value
CUST338,54,100.0,Low Value
CUST258,37,50.0,Low Value
CUST704,62,90.0,Low Value
CUST263,23,60.0,Low Value
CUST822,52,150.0,Mid Value
CUST863,30,50.0,Low Value
CUST290,30,600.0,Mid Value
CUST349,57,50.0,Low Value
CUST729,29,1200.0,High Value
CUST074,18,2000.0,High Value
CUST523,62,300.0,Mid Value
CUST449,25,200.0,Mid Value
CUST936,57,200.0,Mid Value
CUST147,23,300.0,Mid Value
CUST142,35,1200.0,High Value
CUST989,44,25.0,Low Value
CUST979,19,25.0,Low Value
CUST235,23,1000.0,High Value
CUST311,32,100.0,Low Value
CUST816,47,1000.0,High Value
CUST041,34,50.0,Low Value
CUST582,35,900.0,High Value
CUST708,43,900.0,High Value
CUST492,61,100.0,Low Value
CUST069,56,75.0,Low Value
CUST919,22,50.0,Low Value
CUST105,22,500.0,Mid Value
CUST222,51,120.0,Mid Value
CUST976,48,600.0,Mid Value
CUST327,57,150.0,Mid Value
CUST302,57,600.0,Mid Value
CUST764,40,25.0,Low Value
CUST898,42,90.0,Low Value
CUST316,48,50.0,Low Value
CUST638,46,500.0,Mid Value
CUST860,63,200.0,Mid Value
CUST075,61,200.0,Mid Value
CUST530,18,120.0,Mid Value
CUST858,23,100.0,Low Value
CUST786,48,100.0,Low Value
CUST421,37,1500.0,High Value
CUST752,29,100.0,Low Value
CUST029,42,30.0,Low Value
CUST402,41,600.0,Mid Value
CUST471,32,150.0,Mid Value
CUST036,52,900.0,High Value
CUST156,43,100.0,Low Value
CUST825,46,25.0,Low Value
CUST058,18,1200.0,High Value
CUST238,39,500.0,Mid Value
CUST781,35,500.0,Mid Value
CUST110,27,900.0,High Value
CUST440,64,600.0,Mid Value
CUST824,63,120.0,Mid Value
CUST293,50,90.0,Low Value
CUST034,51,150.0,Mid Value
CUST734,27,30.0,Low Value
CUST117,19,1000.0,High Value
CUST353,31,500.0,Mid Value
CUST969,40,900.0,High Value
CUST469,18,75.0,Low Value
CUST761,33,500.0,Mid Value
CUST569,52,200.0,Mid Value
CUST663,23,1200.0,High Value
CUST350,25,75.0,Low Value
CUST916,32,50.0,Low Value
CUST972,49,100.0,Low Value
CUST420,22,2000.0,High Value
CUST977,35,75.0,Low Value
CUST097,51,1000.0,High Value
CUST715,42,100.0,Low Value
CUST532,64,120.0,Mid Value
CUST884,26,60.0,Low Value
CUST196,32,900.0,High Value
CUST558,41,25.0,Low Value
CUST966,60,1000.0,High Value
CUST643,28,90.0,Low Value
CUST856,54,120.0,Mid Value
CUST608,55,1500.0,High Value
CUST907,45,25.0,Low Value
CUST590,36,900.0,High Value
CUST195,52,30.0,Low Value
CUST017,27,100.0,Low Value
CUST379,47,25.0,Low Value
CUST908,46,1200.0,High Value
CUST335,47,120.0,Mid Value
CUST427,25,25.0,Low Value
CUST365,31,300.0,Mid Value
CUST791,51,25.0,Low Value
CUST897,64,100.0,Low Value
CUST138,49,200.0,Mid Value
CUST707,26,500.0,Mid Value
CUST409,21,900.0,High Value
CUST551,45,900.0,High Value
CUST006,45,30.0,Low Value
CUST787,41,25.0,Low Value
CUST770,32,50.0,Low Value
CUST150,58,120.0,Mid Value
CUST426,23,150.0,Mid Value
CUST181,19,1200.0,High Value
CUST267,32,90.0,Low Value
CUST758,64,100.0,Low Value
CUST821,49,300.0,Mid Value
CUST348,35,600.0,Mid Value
CUST971,27,200.0,Mid Value
CUST366,57,100.0,Low Value
CUST775,46,100.0,Low Value
CUST187,64,100.0,Low Value
CUST610,26,600.0,Mid Value
CUST078,47,1500.0,High Value
CUST690,52,900.0,High Value
CUST224,25,50.0,Low Value
CUST577,21,2000.0,High Value
CUST445,53,300.0,Mid Value
CUST227,36,100.0,Low Value
CUST934,30,500.0,Mid Value
CUST691,51,90.0,Low Value
CUST603,40,90.0,Low Value
CUST535,47,90.0,Low Value
CUST560,25,50.0,Low Value
CUST254,41,500.0,Mid Value
CUST733,34,30.0,Low Value
CUST933,22,30.0,Low Value
CUST326,18,75.0,Low Value
CUST547,63,2000.0,High Value
CUST027,38,50.0,Low Value
CUST280,37,1500.0,High Value
CUST586,50,50.0,Low Value
CUST681,43,60.0,Low Value
CUST762,24,50.0,Low Value
CUST698,64,300.0,Mid Value
CUST166,34,2000.0,High Value
CUST317,22,90.0,Low Value
CUST057,63,30.0,Low Value
CUST444,61,90.0,Low Value
CUST834,56,60.0,Low Value
CUST439,50,75.0,Low Value
CUST749,42,30.0,Low Value
CUST531,31,500.0,Mid Value
CUST798,61,50.0,Low Value
CUST169,18,1500.0,High Value
CUST537,21,500.0,Mid Value
CUST631,56,90.0,Low Value
CUST548,51,60.0,Low Value
CUST520,49,100.0,Low Value
CUST888,52,100.0,Low Value
CUST668,62,150.0,Mid Value
CUST488,51,900.0,High Value
CUST652,34,100.0,Low Value
CUST896,30,50.0,Low Value
CUST234,62,50.0,Low Value
CUST649,58,600.0,Mid Value
CUST411,62,200.0,Mid Value
CUST266,19,60.0,Low Value
CUST136,44,600.0,Mid Value
CUST812,19,75.0,Low Value
CUST160,43,100.0,Low Value
CUST207,42,50.0,Low Value
CUST189,63,50.0,Low Value
CUST665,57,50.0,Low Value
CUST732,61,1000.0,High Value
CUST253,53,2000.0,High Value
CUST109,34,2000.0,High Value
CUST300,19,200.0,Mid Value
CUST154,51,900.0,High Value
CUST352,57,1000.0,High Value
CUST820,49,200.0,Mid Value
CUST648,53,1200.0,High Value
CUST035,58,900.0,High Value
CUST991,34,100.0,Low Value
CUST414,48,100.0,Low Value
CUST673,43,1500.0,High Value
CUST550,40,900.0,High Value
CUST342,43,2000.0,High Value
CUST128,25,500.0,Mid Value
CUST192,62,100.0,Low Value
CUST101,32,600.0,Mid Value
CUST304,37,60.0,Low Value
CUST766,38,900.0,High Value
CUST848,63,75.0,Low Value
CUST382,53,1000.0,High Value
CUST424,57,1200.0,High Value
CUST806,35,900.0,High Value
CUST448,54,60.0,Low Value
CUST391,19,50.0,Low Value
CUST028,43,500.0,Mid Value
CUST939,46,300.0,Mid Value
CUST284,43,200.0,Mid Value
CUST837,18,90.0,Low Value
CUST159,26,200.0,Mid Value
CUST632,26,100.0,Low Value
CUST400,53,200.0,Mid Value
CUST170,25,50.0,Low Value
CUST504,38,150.0,Mid Value
CUST679,18,90.0,Low Value
CUST686,28,200.0,Mid Value
CUST465,43,150.0,Mid Value
CUST894,52,30.0,Low Value
CUST667,29,500.0,Mid Value
CUST746,33,90.0,Low Value
CUST441,57,1200.0,High Value
CUST250,48,50.0,Low Value
CUST312,41,120.0,Mid Value
CUST475,26,75.0,Low Value
CUST257,19,2000.0,High Value
CUST598,37,120.0,Mid Value
CUST123,40,60.0,Low Value
CUST148,18,60.0,Low Value
CUST381,44,100.0,Low Value
CUST513,24,100.0,Low Value
CUST602,20,300.0,Mid Value
CUST072,20,2000.0,High Value
CUST355,55,500.0,Mid Value
CUST383,46,90.0,Low Value
CUST412,19,2000.0,High Value
CUST827,61,900.0,High Value
CUST376,64,30.0,Low Value
CUST506,34,1500.0,High Value
CUST194,55,200.0,Mid Value
CUST924,55,100.0,Low Value
CUST541,56,500.0,Mid Value
CUST392,27,600.0,Mid Value
CUST552,49,75.0,Low Value
CUST182,62,120.0,Mid Value
CUST891,41,900.0,High Value
CUST497,41,120.0,Mid Value
CUST081,40,50.0,Low Value
CUST899,26,600.0,Mid Value
CUST398,48,600.0,Mid Value
CUST599,28,100.0,Low Value
CUST935,34,50.0,Low Value
CUST363,64,25.0,Low Value
CUST180,41,900.0,High Value
CUST892,20,50.0,Low Value
CUST134,49,50.0,Low Value
CUST232,43,25.0,Low Value
CUST462,63,1200.0,High Value
CUST442,60,100.0,Low Value
CUST737,33,50.0,Low Value
CUST623,34,150.0,Mid Value
CUST289,53,60.0,Low Value
CUST515,49,900.0,High Value
CUST974,47,30.0,Low Value
CUST789,61,2000.0,High Value
CUST015,42,2000.0,High Value
CUST705,60,50.0,Low Value
CUST662,48,1000.0,High Value
CUST997,52,90.0,Low Value
CUST614,39,1200.0,High Value
CUST145,39,75.0,Low Value
CUST369,23,1500.0,High Value
CUST056,26,900.0,High Value
CUST324,52,150.0,Mid Value
CUST434,43,50.0,Low Value
CUST500,60,100.0,Low Value
CUST748,25,150.0,Mid Value
CUST437,35,1200.0,High Value
CUST205,43,25.0,Low Value
CUST305,18,30.0,Low Value
CUST659,39,30.0,Low Value
CUST864,51,500.0,Mid Value
CUST947,50,300.0,Mid Value
CUST454,46,25.0,Low Value
CUST354,49,200.0,Mid Value
CUST096,44,600.0,Mid Value
CUST866,24,50.0,Low Value
CUST115,51,1500.0,High Value
CUST784,34,500.0,Mid Value
CUST118,30,2000.0,High Value
CUST473,64,50.0,Low Value
CUST616,41,100.0,Low Value
CUST918,42,90.0,Low Value
CUST501,39,60.0,Low Value
CUST107,21,1200.0,High Value
CUST447,22,2000.0,High Value
CUST505,24,50.0,Low Value
CUST591,53,100.0,Low Value
CUST906,20,50.0,Low Value
CUST470,57,1000.0,High Value
CUST985,19,50.0,Low Value
CUST430,43,900.0,High Value
CUST157,62,2000.0,High Value
CUST887,59,100.0,Low Value
CUST009,63,600.0,Mid Value
CUST106,46,50.0,Low Value
CUST760,27,500.0,Mid Value
CUST246,48,50.0,Low Value
CUST633,39,120.0,Mid Value
CUST052,36,300.0,Mid Value
CUST218,64,90.0,Low Value
CUST095,32,60.0,Low Value
CUST675,45,60.0,Low Value
CUST457,58,900.0,High Value
CUST388,50,25.0,Low Value
CUST783,56,300.0,Mid Value
CUST565,45,60.0,Low Value
CUST287,54,100.0,Low Value
CUST996,62,50.0,Low Value
CUST716,60,1200.0,High Value
CUST336,52,150.0,Mid Value
CUST607,54,75.0,Low Value
CUST992,57,60.0,Low Value
CUST956,30,1500.0,High Value
CUST374,59,75.0,Low Value
CUST059,62,50.0,Low Value
CUST153,63,1000.0,High Value
CUST727,55,900.0,High Value
CUST083,54,100.0,Low Value
CUST173,64,120.0,Mid Value
CUST389,21,50.0,Low Value
CUST038,38,200.0,Mid Value
CUST011,23,100.0,Low Value
CUST458,39,100.0,Low Value
CUST926,22,30.0,Low Value
CUST842,47,600.0,Mid Value
CUST525,47,50.0,Low Value
CUST356,50,1500.0,High Value
CUST319,31,500.0,Mid Value
CUST328,39,100.0,Low Value
CUST093,35,2000.0,High Value
CUST186,20,200.0,Mid Value
CUST588,38,60.0,Low Value
CUST255,48,30.0,Low Value
CUST393,22,1000.0,High Value
CUST276,21,100.0,Low Value
CUST345,62,30.0,Low Value
CUST091,55,500.0,Mid Value
CUST223,64,25.0,Low Value
CUST575,60,100.0,Low Value
CUST251,57,200.0,Mid Value
CUST584,27,200.0,Mid Value
CUST176,43,100.0,Low Value
CUST534,45,1000.0,High Value
CUST149,22,75.0,Low Value
CUST463,54,1500.0,High Value
CUST636,21,1500.0,High Value
CUST510,39,200.0,Mid Value
CUST922,41,50.0,Low Value
CUST736,29,100.0,Low Value
CUST917,57,200.0,Mid Value
CUST539,25,500.0,Mid Value
CUST701,52,60.0,Low Value
CUST959,42,60.0,Low Value
CUST119,60,150.0,Mid Value
CUST048,54,900.0,High Value
CUST026,28,1000.0,High Value
CUST108,27,75.0,Low Value
CUST126,28,90.0,Low Value
CUST016,19,1500.0,High Value
CUST283,18,500.0,Mid Value
CUST125,48,100.0,Low Value
CUST751,42,50.0,Low Value
CUST466,63,100.0,Low Value
CUST592,46,2000.0,High Value
CUST549,50,100.0,Low Value
CUST320,28,1200.0,High Value
CUST270,43,300.0,Mid Value
CUST772,26,30.0,Low Value
CUST064,49,100.0,Low Value
CUST745,54,100.0,Low Value
CUST518,40,30.0,Low Value
CUST299,61,1000.0,High Value
CUST517,47,100.0,Low Value
CUST927,43,2000.0,High Value
CUST965,22,200.0,Mid Value
CUST429,64,50.0,Low Value
CUST581,48,60.0,Low Value
CUST334,31,900.0,High Value
CUST925,25,300.0,Mid Value
CUST849,32,50.0,Low Value
CUST509,37,900.0,High Value
CUST357,40,75.0,Low Value
CUST272,61,100.0,Low Value
CUST988,63,75.0,Low Value
CUST657,40,25.0,Low Value
CUST861,41,90.0,Low Value
CUST332,58,1200.0,High Value
CUST689,57,100.0,Low Value
CUST674,38,300.0,Mid Value
CUST622,49,75.0,Low Value
CUST241,23,75.0,Low Value
CUST815,51,75.0,Low Value
CUST869,37,1500.0,High Value
CUST813,52,150.0,Mid Value
CUST185,24,25.0,Low Value
CUST571,41,50.0,Low Value
CUST455,31,100.0,Low Value
CUST033,50,100.0,Low Value
CUST593,35,60.0,Low Value
CUST264,47,900.0,High Value
CUST498,50,100.0,Low Value
CUST373,25,600.0,Mid Value
CUST885,52,120.0,Mid Value
CUST340,36,1200.0,High Value
CUST795,57,300.0,Mid Value
CUST063,57,50.0,Low Value
CUST225,57,100.0,Low Value
CUST904,28,500.0,Mid Value
CUST295,27,900.0,High Value
CUST596,64,300.0,Mid Value
CUST800,32,1200.0,High Value
CUST313,55,1500.0,High Value
CUST937,62,500.0,Mid Value
CUST754,43,100.0,Low Value
CUST945,30,25.0,Low Value
CUST759,49,100.0,Low Value
CUST564,50,100.0,Low Value
CUST190,60,90.0,Low Value
CUST597,22,1200.0,High Value
CUST660,38,1000.0,High Value
CUST419,44,90.0,Low Value
CUST871,62,60.0,Low Value
CUST847,18,1200.0,High Value
CUST836,22,50.0,Low Value
CUST088,56,500.0,Mid Value
CUST600,59,1000.0,High Value
CUST526,33,100.0,Low Value
CUST188,40,75.0,Low Value
CUST576,33,150.0,Mid Value
CUST774,40,50.0,Low Value
CUST210,37,200.0,Mid Value
CUST714,18,500.0,Mid Value
CUST155,31,2000.0,High Value
CUST221,39,600.0,Mid Value
CUST158,44,600.0,Mid Value
CUST308,34,1200.0,High Value
CUST478,58,60.0,Low Value
CUST514,18,300.0,Mid Value
CUST611,51,1500.0,High Value
CUST503,45,2000.0,High Value
CUST823,56,100.0,Low Value
CUST499,46,60.0,Low Value
CUST273,22,50.0,Low Value
CUST605,37,1000.0,High Value
CUST184,31,200.0,Mid Value
CUST604,29,200.0,Mid Value
CUST198,54,900.0,High Value
CUST712,57,50.0,Low Value
CUST004,37,500.0,Mid Value
CUST872,63,75.0,Low Value
CUST315,47,60.0,Low Value
CUST583,24,100.0,Low Value
CUST044,22,25.0,Low Value
CUST981,30,60.0,Low Value
CUST731,54,2000.0,High Value
CUST010,52,200.0,Mid Value
CUST559,40,1200.0,High Value
CUST203,56,1000.0,High Value
CUST943,57,1200.0,High Value
CUST656,29,90.0,Low Value
CUST987,30,900.0,High Value
CUST199,45,1500.0,High Value
CUST177,45,100.0,Low Value
CUST098,55,100.0,Low Value
CUST725,61,300.0,Mid Value
CUST855,54,25.0,Low Value
CUST282,64,200.0,Mid Value
CUST045,55,30.0,Low Value
CUST878,20,30.0,Low Value
CUST797,40,75.0,Low Value
CUST711,26,1500.0,High Value
CUST873,27,100.0,Low Value
CUST723,54,200.0,Mid Value
CUST553,24,1200.0,High Value
CUST197,42,200.0,Mid Value
CUST941,57,50.0,Low Value
CUST790,62,25.0,Low Value
CUST014,64,120.0,Mid Value
CUST226,61,50.0,Low Value
CUST489,44,30.0,Low Value
CUST377,46,200.0,Mid Value
CUST046,20,1200.0,High Value
CUST780,52,50.0,Low Value
CUST738,41,100.0,Low Value
CUST644,23,75.0,Low Value
CUST049,54,1000.0,High Value
CUST390,39,100.0,Low Value
CUST446,21,50.0,Low Value
CUST331,28,90.0,Low Value
CUST452,48,1500.0,High Value
CUST436,57,120.0,Mid Value
CUST670,27,30.0,Low Value
CUST799,56,100.0,Low Value
CUST928,35,1200.0,High Value
CUST566,64,30.0,Low Value
CUST271,62,120.0,Mid Value
CUST843,21,1500.0,High Value
CUST495,24,60.0,Low Value
CUST043,48,300.0,Mid Value
CUST955,58,25.0,Low Value
CUST870,46,120.0,Mid Value
CUST403,32,600.0,Mid Value
CUST209,30,200.0,Mid Value
CUST358,32,300.0,Mid Value
CUST561,64,2000.0,High Value
CUST070,43,300.0,Mid Value
CUST236,54,25.0,Low Value
CUST375,32,50.0,Low Value
CUST435,30,900.0,High Value
CUST405,25,1200.0,High Value
CUST546,36,200.0,Mid Value
CUST536,55,120.0,Mid Value
CUST778,47,100.0,Low Value
CUST802,46,30.0,Low Value
CUST921,51,75.0,Low Value
CUST286,55,50.0,Low Value
CUST037,18,75.0,Low Value
CUST275,43,1000.0,High Value
CUST724,61,150.0,Mid Value
CUST695,22,150.0,Mid Value
CUST923,32,900.0,High Value
CUST464,38,600.0,Mid Value
CUST496,23,600.0,Mid Value
CUST410,29,100.0,Low Value
CUST050,27,75.0,Low Value
CUST685,57,50.0,Low Value
CUST220,64,500.0,Mid Value
CUST983,29,300.0,Mid Value
CUST161,64,1000.0,High Value
CUST494,42,200.0,Mid Value
CUST767,39,75.0,Low Value
CUST645,35,120.0,Mid Value
CUST940,20,30.0,Low Value
CUST491,60,900.0,High Value
CUST396,55,30.0,Low Value
CUST699,37,120.0,Mid Value
CUST595,18,2000.0,High Value
CUST881,22,300.0,Mid Value
CUST640,51,120.0,Mid Value
CUST415,53,60.0,Low Value
CUST468,40,25.0,Low Value
CUST453,26,1000.0,High Value
CUST986,49,1000.0,High Value
CUST399,64,60.0,Low Value
CUST051,27,75.0,Low Value
CUST990,58,1000.0,High Value
CUST371,20,25.0,Low Value
CUST053,34,100.0,Low Value
CUST609,47,100.0,Low Value
CUST658,59,25.0,Low Value
CUST706,51,100.0,Low Value
CUST893,49,50.0,Low Value
CUST868,25,300.0,Mid Value
CUST730,36,50.0,Low Value
CUST265,55,900.0,High Value
CUST999,36,150.0,Mid Value
CUST274,23,1000.0,High Value
CUST162,39,60.0,Low Value
CUST114,22,100.0,Low Value
CUST909,26,300.0,Mid Value
CUST333,54,1200.0,High Value
CUST325,52,50.0,Low Value
CUST634,60,2000.0,High Value
CUST744,40,25.0,Low Value
CUST929,23,75.0,Low Value
CUST002,26,1000.0,High Value
CUST113,41,50.0,Low Value
CUST664,44,2000.0,High Value
CUST512,57,25.0,Low Value
CUST993,48,150.0,Mid Value
CUST901,31,30.0,Low Value
CUST793,54,30.0,Low Value
CUST005,30,100.0,Low Value
CUST217,35,200.0,Mid Value
CUST562,54,50.0,Low Value
CUST362,50,25.0,Low Value
CUST068,25,300.0,Mid Value
CUST425,55,120.0,Mid Value
CUST756,62,1200.0,High Value
CUST025,64,50.0,Low Value
CUST527,57,50.0,Low Value
CUST397,30,25.0,Low Value
CUST832,47,2000.0,High Value
CUST042,22,900.0,High Value
CUST191,64,25.0,Low Value
CUST910,20,150.0,Mid Value
CUST967,62,25.0,Low Value
CUST654,42,75.0,Low Value
CUST666,51,150.0,Mid Value
CUST268,28,30.0,Low Value
CUST484,19,1200.0,High Value
CUST554,46,150.0,Mid Value
CUST810,59,100.0,Low Value
CUST127,33,50.0,Low Value
CUST720,56,1500.0,High Value
CUST801,21,200.0,Mid Value
CUST807,50,200.0,Mid Value
CUST1000,47,120.0,Mid Value
CUST719,42,60.0,Low Value
CUST619,47,100.0,Low Value
CUST594,19,600.0,Mid Value
CUST859,56,1500.0,High Value
CUST368,56,1200.0,High Value
CUST467,53,150.0,Mid Value
CUST378,50,300.0,Mid Value
CUST886,37,900.0,High Value
CUST288,28,120.0,Mid Value
CUST915,26,90.0,Low Value
CUST938,49,200.0,Mid Value
CUST980,31,75.0,Low Value
CUST973,60,50.0,Low Value
CUST920,28,75.0,Low Value
CUST833,42,200.0,Mid Value
CUST579,38,30.0,Low Value
CUST851,32,50.0,Low Value
CUST857,60,50.0,Low Value
CUST570,49,500.0,Mid Value
CUST804,42,30.0,Low Value
CUST765,43,200.0,Mid Value
CUST395,50,1000.0,High Value
CUST792,20,50.0,Low Value
CUST788,52,900.0,High Value
CUST785,31,200.0,Mid Value
CUST247,41,60.0,Low Value
CUST261,21,50.0,Low Value
CUST100,41,30.0,Low Value
CUST298,27,1200.0,High Value
CUST133,20,900.0,High Value
CUST572,31,2000.0,High Value
CUST237,50,1000.0,High Value
CUST401,62,300.0,Mid Value
CUST214,20,60.0,Low Value
CUST555,25,300.0,Mid Value
CUST782,59,900.0,High Value
